Job Position Name,Company Name,Pay,Experience,Rating,URL
Digital Data Analyst,Automotive Robotics India,Not disclosed,0-1 Yrs,3.9,https://www.naukri.com/job-listings-digital-data-analyst-automotive-robotics-india-pvt-ltd-chennai-0-to-1-years-220722502407
Clinical Data Analyst,Manipal Acunova Ltd.,Not disclosed,3-8 Yrs,3,https://www.naukri.com/job-listings-clinical-data-analyst-manipal-acunova-ltd-chennai-bangalore-bengaluru-3-to-8-years-060921502580
Financial Data Analysts,C Infotech,Not disclosed,0-3 Yrs,,https://www.naukri.com/job-listings-financial-data-analysts-c-mots-infotech-pvt-ltd-chennai-0-to-3-years-251120501340
Junior Data Analyst - DQS,Checktronix,Not disclosed,0-1 Yrs,4.3,https://www.naukri.com/job-listings-junior-data-analyst-dqs-checktronix-india-pvt-ltd-dharmapuri-chennai-0-to-1-years-140621501474
Junior Data Analyst,Checktronix,Not disclosed,0-2 Yrs,4.3,https://www.naukri.com/job-listings-junior-data-analyst-checktronix-india-pvt-ltd-chennai-dharmapuri-0-to-2-years-080321500668
Senior Real World Data Analyst,Inspire Careers,Not disclosed,3-8 Yrs,,https://www.naukri.com/job-listings-senior-real-world-data-analyst-inspire-careers-chennai-3-to-8-years-220922501873
Senior Clinical Data Analyst,Inspire Analytics,"20,00,000 - 25,00,000 PA.",3-5 Yrs,,https://www.naukri.com/job-listings-senior-clinical-data-analyst-inspire-analytics-private-limited-chennai-3-to-5-years-210622009493
Senior Data Analyst,Inspire Careers,Not disclosed,5-7 Yrs,,https://www.naukri.com/job-listings-senior-data-analyst-inspire-careers-chennai-5-to-7-years-220922501869
Data Scientist - Data Mining,Huquo Consulting Pvt. Ltd,Not disclosed,3-8 Yrs,,https://www.naukri.com/job-listings-data-scientist-data-mining-huquo-consulting-pvt-ltd-noida-chennai-bangalore-bengaluru-3-to-8-years-221022900812
Data Scientist,Financial Software Systems Pvt. Ltd.,Not disclosed,2-3 Yrs,3.9,https://www.naukri.com/job-listings-data-scientist-financial-software-systems-pvt-ltd-kolkata-mumbai-chennai-bangalore-bengaluru-2-to-3-years-060822500640
Data Scientist,HCLTech,Not disclosed,3-8 Yrs,3.8,https://www.naukri.com/job-listings-data-scientist-hcl-technologies-limited-chennai-3-to-8-years-211022010162
Data Modeler/Business System Analyst,Mr. Cooper,Not disclosed,1-5 Yrs,4.4,https://www.naukri.com/job-listings-data-modeler-business-system-analyst-mr-cooper-chennai-1-to-5-years-180822501849
Data Modeler/Business System Analyst,Xome,Not disclosed,1-4 Yrs,4.2,https://www.naukri.com/job-listings-data-modeler-business-system-analyst-xome-chennai-1-to-4-years-180822501846
Data Science Lead,Xoriant,Not disclosed,7-12 Yrs,4.3,https://www.naukri.com/job-listings-data-science-lead-xoriant-solutions-pvt-ltd-kochi-cochin-hyderabad-secunderabad-pune-ahmedabad-gurgaon-gurugram-chennai-bangalore-bengaluru-mumbai-all-areas-7-to-12-years-180822003149
"Senior Data Manager, Clinical Data Sciences",Pfizer,Not disclosed,3-8 Yrs,4.2,https://www.naukri.com/job-listings-senior-data-manager-clinical-data-sciences-pfizer-limited-chennai-3-to-8-years-181122500480
Clinical Data Analyst - SQL/Healthcare EcoSystem,Huquo Consulting Pvt. Ltd,Not disclosed,8-13 Yrs,,https://www.naukri.com/job-listings-clinical-data-analyst-sql-healthcare-ecosystem-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-8-to-13-years-181122909847
Financial Data Analyst - Wealth Tech,Mithra HR Consulting,Not disclosed,2-5 Yrs,,https://www.naukri.com/job-listings-financial-data-analyst-wealth-tech-mithra-hr-consulting-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-2-to-5-years-171122914769
Data Analyst,Seven Consultancy (HR Solution),Not disclosed,1-2 Yrs,,https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-chennai-1-to-2-years-171122500723
Inventory Data Analyst,Engineered Seal Products (ESP),Not disclosed,1-4 Yrs,,https://www.naukri.com/job-listings-inventory-data-analyst-esp-engineered-components-private-limited-chennai-1-to-4-years-171122006521
Data Analyst - Netlink,Netlink Software Pvt Ltd,Not disclosed,2-5 Yrs,3.8,https://www.naukri.com/job-listings-data-analyst-netlink-netlink-software-pvt-ltd-bhopal-pune-chennai-2-to-5-years-151122501100
Engineer Data Analyst,Valeo,Not disclosed,1-4 Yrs,3.9,https://www.naukri.com/job-listings-engineer-data-analyst-valeo-india-pvt-ltd-chennai-1-to-4-years-151022501971
Data Analyst - Technology Consulting,Tiger Analytics,Not disclosed,5-10 Yrs,3.7,https://www.naukri.com/job-listings-data-analyst-technology-consulting-tiger-analytics-chennai-5-to-10-years-140922502297
MIS Executive / Data Analyst,Zebronics,Not disclosed,2-6 Yrs,3.4,https://www.naukri.com/job-listings-mis-executive-data-analyst-zebronics-india-pvt-ltd-chennai-2-to-6-years-061022605810
Master data Analyst,Tirumala Milk Products,Not disclosed,1-6 Yrs,4.1,https://www.naukri.com/job-listings-master-data-analyst-tirumala-milk-products-private-limited-chennai-1-to-6-years-261022002875
DATA ANALYST,RSI Content Solutions,Not disclosed,10-15 Yrs,4.3,https://www.naukri.com/job-listings-data-analyst-rsi-content-solutions-chennai-10-to-15-years-141122501263
AVAP Agile Information Systems - Data Scientist - Machine Learning,AVAP Agile,Not disclosed,3-8 Yrs,,https://www.naukri.com/job-listings-avap-agile-information-systems-data-scientist-machine-learning-avap-agile-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-3-to-8-years-221022900066
