Job Position Name,Company Name,Pay,Experience,Rating,URL
Data Analyst I,DUN &amp; BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Not disclosed,1-4 Yrs,3.9,https://www.naukri.com/job-listings-data-analyst-i-dun-amp-bradstreet-information-services-india-private-limited-hyderabad-secunderabad-1-to-4-years-290421501429
Data Analyst,Cyient,Not disclosed,2-3 Yrs,3.7,https://www.naukri.com/job-listings-data-analyst-cyient-limited-hyderabad-secunderabad-2-to-3-years-120521500066
Data Analyst II,DUN &amp; BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Not disclosed,6-8 Yrs,3.9,https://www.naukri.com/job-listings-data-analyst-ii-dun-amp-bradstreet-information-services-india-private-limited-hyderabad-secunderabad-6-to-8-years-120121501200
Data Analyst,Qualsquad Infotech,"50,000 - 1,75,000 PA.",0-1 Yrs,3.3,https://www.naukri.com/job-listings-data-analyst-qualsquad-infotech-pvt-ltd-hyderabad-secunderabad-0-to-1-years-031122007903
Senior Data Analyst,Cleartrail Technologies,Not disclosed,15-18 Yrs,2.6,https://www.naukri.com/job-listings-senior-data-analyst-clear-trail-technologies-pvt-ltd-noida-mumbai-indore-hyderabad-secunderabad-pune-jaipur-bangalore-bengaluru-15-to-18-years-160522501124
Lead Data Scientist,Freshworks,Not disclosed,5-7 Yrs,4.0,https://www.naukri.com/job-listings-lead-data-scientist-freshworks-technologies-pvt-ltd-hyderabad-secunderabad-5-to-7-years-031122914379
Data Scientist,MetLife,Not disclosed,2-5 Yrs,4.4,https://www.naukri.com/job-listings-data-scientist-metlife-hyderabad-secunderabad-2-to-5-years-300622501044
Data Scientist,torcai digital media,Not disclosed,2-7 Yrs,3.1,https://www.naukri.com/job-listings-data-scientist-torcai-digital-media-dehradun-hyderabad-secunderabad-gurgaon-gurugram-2-to-7-years-140922501933
AVAP Agile Information Systems - Data Scientist - Machine Learning,AVAP Agile,Not disclosed,3-8 Yrs,,https://www.naukri.com/job-listings-avap-agile-information-systems-data-scientist-machine-learning-avap-agile-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-3-to-8-years-221022900066
Data Scientist,Dr Reddys,Not disclosed,2-5 Yrs,4.2,https://www.naukri.com/job-listings-data-scientist-dr-reddys-laboratories-ltd-hyderabad-secunderabad-2-to-5-years-091122500763
Data Scientist,Veniso Solutions,Not disclosed,2-7 Yrs,4.1,https://www.naukri.com/job-listings-data-scientist-veniso-solutions-hyderabad-secunderabad-2-to-7-years-040822501312
Data analysis engineers,Adecco India Private Limited,"8,50,000 - 10,00,000 PA.",5-10 Yrs,,https://www.naukri.com/job-listings-data-analysis-engineers-adecco-india-private-limited-hyderabad-secunderabad-pune-calicut-kozhikode-chennai-bangalore-bengaluru-trivandrum-thiruvananthapuram-5-to-10-years-191022011111
Clinical Data Analyst - SQL/Healthcare EcoSystem,Huquo Consulting Pvt. Ltd,Not disclosed,5-10 Yrs,,https://www.naukri.com/job-listings-clinical-data-analyst-sql-healthcare-ecosystem-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-10-years-141122908707
Assistant Manager/Lead Assistant Manager/Manager - Data Analyst,Huquo Consulting Pvt. Ltd,Not disclosed,2-7 Yrs,,https://www.naukri.com/job-listings-assistant-manager-lead-assistant-manager-manager-data-analyst-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-2-to-7-years-091122913797
Data Analyst,Varite,Not disclosed,8-10 Yrs,3.9,https://www.naukri.com/job-listings-data-analyst-varite-hyderabad-secunderabad-bangalore-bengaluru-8-to-10-years-240822501172
Data Analyst,Beyond Human Resource,Not disclosed,5-10 Yrs,5.0,https://www.naukri.com/job-listings-data-analyst-beyond-human-resource-hyderabad-secunderabad-bangalore-bengaluru-5-to-10-years-210922502128
Data and Visualisation Analyst,North44 Consultancy Services,Not disclosed,3-8 Yrs,,https://www.naukri.com/job-listings-data-and-visualisation-analyst-north44-consultancy-services-private-limited-hyderabad-secunderabad-3-to-8-years-171122012379
Data Analyst,Massmutual Global Business Services India Llp,Not disclosed,3-5 Yrs,4.2,https://www.naukri.com/job-listings-data-analyst-massmutual-global-business-services-india-llp-hyderabad-secunderabad-3-to-5-years-161122501623
Principal IT Data Analyst,Syneos Health,Not disclosed,5-10 Yrs,4.2,https://www.naukri.com/job-listings-principal-it-data-analyst-inventiv-international-pharma-services-pvt-ltd-hyderabad-secunderabad-5-to-10-years-161122014179
Data and Reporting Analyst,Freshprints,Not disclosed,0-3 Yrs,3.0,https://www.naukri.com/job-listings-data-and-reporting-analyst-freshprints-hyderabad-secunderabad-0-to-3-years-061022501848
Data Analyst,Capital Placement Services,Not disclosed,1-6 Yrs,,https://www.naukri.com/job-listings-data-analyst-capital-placement-services-mumbai-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-1-to-6-years-210621500028
Data Analyst- Talent Acquisition,Providence Global Center,Not disclosed,2-5 Yrs,4.1,https://www.naukri.com/job-listings-data-analyst-talent-acquisition-providence-global-center-hyderabad-secunderabad-2-to-5-years-181122007096
"Analyst I, Global Financial Data Operations",Kroll Associates (India) Pvt Ltd,Not disclosed,0-2 Yrs,,https://www.naukri.com/job-listings-analyst-i-global-financial-data-operations-kroll-associates-india-pvt-ltd-hyderabad-secunderabad-0-to-2-years-170822500936
Research & Data Analyst,Beyond Codes,Not disclosed,0-2 Yrs,3.0,https://www.naukri.com/job-listings-research-data-analyst-beyond-codes-inc-chandigarh-hyderabad-secunderabad-gurgaon-gurugram-0-to-2-years-160822503034
